Período Ocorrência,Cidade,Descrição Local,Rubrica,Cidade Veículo,Cor Veículo,Ano Modelo,Tipo Veículo,Modelo Veículo,Marca Veículo,contagem_descricaolocal,contagem_modelo_veic
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Prata,0,AUTOMOVEL,NISSAN MARCH 10S FLEX,I,6309,9
A NOITE,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,S.BERNARDO DO CAMPO,Prata,2022,AUTOMOVEL,HB20 10M VISION,HYUNDAI,22353,27
A NOITE,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Azul,0,MOTOCICLO,FACTOR YBR125 E,YAMAHA,6309,6
DE MADRUGADA,CARAPICUIBA,Via pública,Localização/Apreensão e Entrega de veículo,,,0,,,,22353,0
DE MADRUGADA,CARAPICUIBA,Via pública,Localização/Apreensão e Entrega de veículo,CARAPICUIBA,Branco,2015,MOTONETA,BIZ 125 EX,HONDA,22353,8
DE MADRUGADA,CARAPICUIBA,Via pública,Furto (art. 155) - VEICULO,,,0,,,,22353,0
DE MADRUGADA,CARAPICUIBA,Via pública,Furto (art. 155) - VEICULO,CARAPICUIBA,Branco,2015,MOTONETA,BIZ 125 EX,HONDA,22353,8
DE MADRUGADA,CARAPICUIBA,Via pública,Receptação (art. 180) - VEICULO,,,0,,,,22353,0
DE MADRUGADA,CARAPICUIBA,Via pública,Receptação (art. 180) - VEICULO,CARAPICUIBA,Branco,2015,MOTONETA,BIZ 125 EX,HONDA,22353,8
DE MADRUGADA,OSASCO,Via Pública,Furto (art. 155) - VEICULO,OSASCO,Branco,0,AUTOMOVEL,FORD,FORD,6309,29
DE MADRUGADA,DIADEMA,Estacionamento particular,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Vermelho,0,MOTOCICLO,CG 160 TITAN,HONDA,381,662
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Branco,0,AUTOMOVEL,NOVA SAVEIRO CE CROSS,VW,6309,6
DE MADRUGADA,OSASCO,Garagem ou abrigo de residência,Furto (art. 155) - VEICULO,OSASCO,Vermelho,0,MOTOCICLO,CG 160 FAN,HONDA,952,1278
A NOITE,OSASCO,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Preta,0,AUTOMOVEL,KIA SOUL EX 1.6L,I,6309,13
DE MADRUGADA,TABOAO DA SERRA,Via pública,Furto (art. 155) - VEICULO,TABOAO DA SERRA,Prata,1995,AUTOMOVEL,CORSA WIND,GM,22353,785
PELA MANHÃ,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO CAETANO DO SUL,Vermelho,0,AUTOMOVEL,HB20 1.6A PREM,HYUNDAI,6309,23
DE MADRUGADA,TABOAO DA SERRA,Via pública,Furto (art. 155) - VEICULO,TABOAO DA SERRA,Preta,2002,AUTOMOVEL,CORSA WIND,GM,22353,785
A NOITE,MAIRIPORA,Via pública,Furto (art. 155) - VEICULO,ATIBAIA,Branco,1997,CAMIONETA,KOMBI,VW,22353,114
A NOITE,TABOAO DA SERRA,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Preta,0,AUTOMOVEL,CORSA 1.8,GM,6309,2
PELA MANHÃ,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,S.BERNARDO DO CAMPO,Azul,1997,CAMINHONETE,FIORINO WORKING,FIAT,22353,16
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Branco,0,AUTOMOVEL,KA SE 1.0 HA B,FORD,6309,254
A NOITE,OSASCO,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Vermelho,0,AUTOMOVEL,PALIO ATTRACTIV 1.0,FIAT,6309,96
